cluster,rank,gene
Cancer.cell.6,13,LDHA
Cancer.cell.6,14,SLC3A2
Cancer.cell.6,15,ZFAS1
Cancer.cell.6,16,EGLN3
Cancer.cell.6,17,ENO1
Cancer.cell.6,18,PLIN2
Cancer.cell.6,19,ANGPTL4
Cancer.cell.6,20,PGK1
Cancer.cell.6,21,PLOD2
Cancer.cell.6,22,DDIT4
Cancer.cell.6,23,EIF1
Cancer.cell.6,24,ERO1A
Cancer.cell.6,25,SOX4
Cancer.cell.6,26,FAM162A
Cancer.cell.6,27,ADM
Cancer.cell.6,28,EIF4EBP1
Cancer.cell.6,29,NXPH4
Cancer.cell.6,30,TRIB3
Cancer.cell.6,31,S100A10
Cancer.cell.6,32,STC2
Cancer.cell.6,33,GDF15
Cancer.cell.6,34,HILPDA
Cancer.cell.6,35,SLC16A3
Cancer.cell.6,36,SQSTM1
Cancer.cell.6,37,CEBPB
Cancer.cell.6,38,RNASET2
Cancer.cell.6,39,GAPDH
Cancer.cell.6,40,SEC61G
Cancer.cell.6,41,MALAT1
Cancer.cell.6,42,BNIP3L
Cancer.cell.6,43,CA9
Cancer.cell.6,44,WSB1
Cancer.cell.6,45,C4orf3
Cancer.cell.6,46,SNHG7
Cancer.cell.6,47,GPI
Cancer.cell.6,48,AKAP12
Cancer.cell.6,49,IGF2-1
Cancer.cell.6,50,ANKRD37
Ciliated.cell.1,1,CAPS
Ciliated.cell.1,2,C20orf85
Ciliated.cell.1,3,TPPP3
Ciliated.cell.1,4,C9orf24
Ciliated.cell.1,5,RSPH1
Ciliated.cell.1,6,C5orf49
Ciliated.cell.1,7,TMEM190
Ciliated.cell.1,8,PIFO
Ciliated.cell.1,9,FAM183A
Ciliated.cell.1,10,C1orf194
Ciliated.cell.1,11,CETN2
Ciliated.cell.1,12,AGR3
Ciliated.cell.1,13,CFAP126
Ciliated.cell.1,14,ODF3B
Ciliated.cell.1,15,TXN
Ciliated.cell.1,16,CAPSL
Ciliated.cell.1,17,IGFBP7
Ciliated.cell.1,18,C11orf88
Ciliated.cell.1,19,MORN2
Ciliated.cell.1,20,LRRIQ1
Ciliated.cell.1,21,TUBA1A
Ciliated.cell.1,22,FOXJ1
Ciliated.cell.1,23,TUBB4B
Ciliated.cell.1,24,ZMYND10
Ciliated.cell.1,25,DNAAF1
Ciliated.cell.1,26,C9orf116
Ciliated.cell.1,27,EFCAB1
Ciliated.cell.1,28,EFHC1
Ciliated.cell.1,29,DNALI1
Ciliated.cell.1,30,IK
Ciliated.cell.1,31,DYDC2
Ciliated.cell.1,32,CEP126
Ciliated.cell.1,33,MLF1
Ciliated.cell.1,34,SNTN
Ciliated.cell.1,35,ROPN1L
Ciliated.cell.1,36,AL357093.2
Ciliated.cell.1,37,PSENEN
Ciliated.cell.1,38,CCDC170
Ciliated.cell.1,39,ERICH3
Ciliated.cell.1,40,TEKT2
Ciliated.cell.1,41,C9orf135
Ciliated.cell.1,42,SPA17
Ciliated.cell.1,43,MNS1
Ciliated.cell.1,44,ARMC3
Ciliated.cell.1,45,PERP
Ciliated.cell.1,46,CIB1
Ciliated.cell.1,47,LRRC23
Ciliated.cell.1,48,CFAP45
Ciliated.cell.1,49,CKB
Ciliated.cell.1,50,MORN5
Ciliated.cell.2,1,CFAP126
Ciliated.cell.2,2,PIFO
Ciliated.cell.2,3,FAM183A
Ciliated.cell.2,4,DNALI1
Ciliated.cell.2,5,CASC1
Ciliated.cell.2,6,RSPH1
Ciliated.cell.2,7,C9orf24
Ciliated.cell.2,8,C20orf85
Ciliated.cell.2,9,LRRIQ1
Ciliated.cell.2,10,C5orf49
Ciliated.cell.2,11,DNAAF1
Ciliated.cell.2,12,TPPP3
Ciliated.cell.2,13,ARMC3
Ciliated.cell.2,14,C1orf194
Ciliated.cell.2,15,CFAP45
Ciliated.cell.2,16,EFCAB1
Ciliated.cell.2,17,ENKUR
Ciliated.cell.2,18,ZMYND10
Ciliated.cell.2,19,CAPSL
Ciliated.cell.2,20,CEP126
Ciliated.cell.2,21,HYDIN
Ciliated.cell.2,22,DYDC2
Ciliated.cell.2,23,CDC20B
Ciliated.cell.2,24,TEKT1
Ciliated.cell.2,25,TEKT2
Ciliated.cell.2,26,CFAP54
Ciliated.cell.2,27,CFAP43
Ciliated.cell.2,28,SPEF1
Ciliated.cell.2,29,FAM81B
Ciliated.cell.2,30,CFAP46
Ciliated.cell.2,31,ROPN1L
Ciliated.cell.2,32,CFAP73
Ciliated.cell.2,33,EFCAB10
Ciliated.cell.2,34,ZBBX
Ciliated.cell.2,35,CFAP157
Ciliated.cell.2,36,DRC1
Ciliated.cell.2,37,SPAG8
Ciliated.cell.2,38,WDR38
Ciliated.cell.2,39,WDR49
Ciliated.cell.2,40,C11orf88
Ciliated.cell.2,41,RSPH4A
Ciliated.cell.2,42,C7orf57
Ciliated.cell.2,43,C6orf118
Ciliated.cell.2,44,DNAH12
Ciliated.cell.2,45,DYNLRB2
Ciliated.cell.2,46,ERICH3
Ciliated.cell.2,47,WDR63
Ciliated.cell.2,48,MORN5
Ciliated.cell.2,49,MAP3K19
Ciliated.cell.2,50,TTLL9
Cycling.cancer.cell.1,1,CENPF
Cycling.cancer.cell.1,2,PTTG1
Cycling.cancer.cell.1,3,UBE2S
Cycling.cancer.cell.1,4,HMGB2
Cycling.cancer.cell.1,5,MKI67
Cycling.cancer.cell.1,6,TPX2
Cycling.cancer.cell.1,7,ASPM
Cycling.cancer.cell.1,8,TOP2A
Cycling.cancer.cell.1,9,CCNB1
Cycling.cancer.cell.1,10,CDC20
Cycling.cancer.cell.1,11,CKS2
Cycling.cancer.cell.1,12,UBE2C
Cycling.cancer.cell.1,13,ARL6IP1
Cycling.cancer.cell.1,14,BIRC5
Cycling.cancer.cell.1,15,LGALS1
Cycling.cancer.cell.1,16,CCNB2
Cycling.cancer.cell.1,17,PTMS
Cycling.cancer.cell.1,18,NMU
Cycling.cancer.cell.1,19,TUBA1B
Cycling.cancer.cell.1,20,HMGN2
Cycling.cancer.cell.1,21,CDKN3
Cycling.cancer.cell.1,22,JPT1
Cycling.cancer.cell.1,23,NUSAP1
Cycling.cancer.cell.1,24,H2AFZ
Cycling.cancer.cell.1,25,CEP55
Cycling.cancer.cell.1,26,HMGB1
Cycling.cancer.cell.1,27,KPNA2
Cycling.cancer.cell.1,28,HMMR
Cycling.cancer.cell.1,29,STMN1
Cycling.cancer.cell.1,30,ANP32E
Cycling.cancer.cell.1,31,SMC4
Cycling.cancer.cell.1,32,ECT2
Cycling.cancer.cell.1,33,CENPE
Cycling.cancer.cell.1,34,NUCKS1
Cycling.cancer.cell.1,35,CKS1B
Cycling.cancer.cell.1,36,KIF20B
Cycling.cancer.cell.1,37,TROAP
Cycling.cancer.cell.1,38,HMGB3
Cycling.cancer.cell.1,39,H2AFV
Cycling.cancer.cell.1,40,RAD21
Cycling.cancer.cell.1,41,DLGAP5
Cycling.cancer.cell.1,42,NCAPD2
Cycling.cancer.cell.1,43,AURKA
Cycling.cancer.cell.1,44,CENPA
Cycling.cancer.cell.1,45,TUBB4B
Cycling.cancer.cell.1,46,CENPW
Cycling.cancer.cell.1,47,SKA2
Cycling.cancer.cell.1,48,KIF23
Cycling.cancer.cell.1,49,TUBA1C
Cycling.cancer.cell.1,50,MAD2L1
Cycling.cancer.cell.2,1,HIST1H4C
Cycling.cancer.cell.2,2,TUBA1B
Cycling.cancer.cell.2,3,PCLAF
Cycling.cancer.cell.2,4,ATAD2
Cycling.cancer.cell.2,5,PCNA
Cycling.cancer.cell.2,6,H2AFZ
Cycling.cancer.cell.2,7,CKS1B
Cycling.cancer.cell.2,8,TK1
Cycling.cancer.cell.2,9,TUBB
Cycling.cancer.cell.2,10,TYMS
Cycling.cancer.cell.2,11,MKI67
Cycling.cancer.cell.2,12,HMGB2
Cycling.cancer.cell.2,13,DUT
Cycling.cancer.cell.2,14,TOP2A
Cycling.cancer.cell.2,15,DEK
Cycling.cancer.cell.2,16,MCM7
Cycling.cancer.cell.2,17,HELLS
Cycling.cancer.cell.2,18,SMC4
Cycling.cancer.cell.2,19,CDK1
Cycling.cancer.cell.2,20,UBE2C
Cycling.cancer.cell.2,21,MCM3
Cycling.cancer.cell.2,22,CLSPN
Cycling.cancer.cell.2,23,STMN1
Cycling.cancer.cell.2,24,MYBL2
Cycling.cancer.cell.2,25,UBE2T
Cycling.cancer.cell.2,26,MCM4
Cycling.cancer.cell.2,27,CENPF
Cycling.cancer.cell.2,28,SMC2
Cycling.cancer.cell.2,29,NUSAP1
Cycling.cancer.cell.2,30,NASP
Cycling.cancer.cell.2,31,HMGB1
Cycling.cancer.cell.2,32,RAD51AP1
Cycling.cancer.cell.2,33,ZWINT
Cycling.cancer.cell.2,34,RRM2
Cycling.cancer.cell.2,35,DNMT1
Cycling.cancer.cell.2,36,E2F1
Cycling.cancer.cell.2,37,TPX2
Cycling.cancer.cell.2,38,CENPW
