stage_transition,annotation,source_fraction,target_fraction,log2_target_over_source_fraction,source_certified_rejection,target_certified_rejection,source_certified_pair_n,target_certified_pair_n,calibration_supported,directional_rejection,directional_rejection_certified,directional_rejection_all_pairs,disappearance_score,emergence_score
E9.5 → E10.5,Sclerotome,0.0807851170770254,0.0651119836825935,-0.310737164364649,0.2446875923579528,0.2953438228438228,5,3,True,0.050656230485870035,0.050656230485870035,0.055415832651318414,0.0760335286045234,0.0
E9.5 → E10.5,Spinal cord,0.0994488736450762,0.2165589254890691,1.1219487735075357,0.0464086013458312,0.1191998491781501,5,5,True,0.07279124783231891,0.07279124783231891,-0.020249721797753806,0.0,0.13373612458770875
E9.5 → E10.5,Surface ectoderm,0.0699571200423508,0.0424475371754883,-0.7194560567596512,0.089295659308219,0.032115807344417,5,5,True,-0.05717985196380201,-0.05717985196380201,-0.0285059817348848,0.06424430293164449,0.0
E9.5 → E10.5,Urogenital ridge,0.0,0.057264077398808,9.164003763221361,0.0,0.0670356703567035,0,2,True,0.0670356703567035,0.0670356703567035,0.10535745507081,0.0,0.6143151354188976
E10.5 → E11.5,AGM,0.0734764875239923,0.0,-9.523100994752737,0.0,0.0,0,0,False,-0.0512244897959183,,-0.0512244897959183,0.0,0.0
E10.5 → E11.5,Blood vessel,0.0358809993905286,0.0334497387991996,-0.10093372433658951,0.0441969330104922,0.0175658720200752,2,1,True,-0.026631060990416996,-0.026631060990416996,0.0254180874999975,0.004460961053003733,0.0
E10.5 → E11.5,Brain,0.1604045320166275,0.1923447216124713,0.26183006739338544,0.2988313271242886,0.165477185984702,2,2,True,-0.1333541411395866,-0.1333541411395866,-0.0631018559406841,0.0,0.0433269027584423
E10.5 → E11.5,Branchial arch,0.0323181200526781,0.0338894166732842,0.06828517206334937,0.1191489361702127,0.086602564102564,1,2,True,-0.032546372067648696,-0.032546372067648696,-0.0386526048800592,0.0,0.005913670990870827
E10.5 → E11.5,Cartilage primordium,0.0,0.0289653222887474,8.183155095653992,0.0,0.3926302414231258,0,1,True,0.3926302414231258,0.3926302414231258,0.2671418783959349,0.0,3.212954160809509
E10.5 → E11.5,Choroid plexus,0.0152520830391187,0.0373672250220404,1.2871947094736644,0.3148148148148148,0.0,1,0,False,-0.14961559265362,,-0.14961559265362,0.0,0.0
E10.5 → E11.5,Connective tissue,0.0703252547720275,0.0632198269220652,-0.1534355657077347,0.2301095329802599,0.1712535276676312,2,2,True,-0.05885600531262872,-0.05885600531262872,-0.022536971795845906,0.035306986367568814,0.0
E10.5 → E11.5,Dermomyotome,0.046603587063974,0.0860673965986516,0.883608735733684,0.0,0.2420562007404543,1,2,True,0.2420562007404543,0.2420562007404543,0.3484358166227835,0.0,0.21388297351277166
E10.5 → E11.5,Dorsal root ganglion,0.0617790194664744,0.0225783274492401,-1.4481360921450435,0.1544444501412523,0.1974741676234213,2,1,True,0.043029717482168994,0.043029717482168994,-0.0933679067570142,0.22365658248104311,0.0
E10.5 → E11.5,Facial nerve,0.0,0.0044214906739986,5.498726582889902,0.0,0.0336134453781512,0,1,True,0.0336134453781512,0.0336134453781512,0.1512605042016806,0.0,0.1848311456433577
E10.5 → E11.5,GI tract,0.0,0.0358372038548472,8.489334352053953,0.0,0.0575922951337686,0,2,True,0.0575922951337686,0.0575922951337686,0.0755482138063682,0.0,0.48892024949273155
E10.5 → E11.5,Head mesenchyme,0.0737693055827837,0.1044084722940773,0.5005729828650518,0.1693234427609427,0.2052090850540462,2,2,True,0.03588564229310351,0.03588564229310351,0.018736945969082625,0.0,0.10272212381651202
E10.5 → E11.5,Heart,0.048302713633844,0.0563542664826131,0.22199468300645944,0.1341480877468626,0.1291936094931814,2,2,True,-0.004954478253681199,-0.004954478253681199,-0.22135951997391032,0.0,0.028680294385899113
E10.5 → E11.5,Inner ear,0.0,0.0178411652545946,7.487129784180784,0.0,0.101567036815391,0,2,True,0.101567036815391,0.101567036815391,0.108635124279998,0.0,0.7604455864315002
E10.5 → E11.5,Jaw and tooth,0.0850162406439768,0.0342381003750253,-1.309624202351989,0.1046511627906976,0.2095555872201639,1,2,True,0.1049044244294663,0.1049044244294663,0.1436301800042214,0.1370536955949755,0.0
E10.5 → E11.5,Liver,0.017786768160565,0.040924523486694,1.1975938363547614,0.05194412916926,0.0221199208359365,2,2,True,-0.029824208333323502,-0.029824208333323502,-0.1257642181583545,0.0,0.026490680853772812
E10.5 → E11.5,Lung primordium,0.0446972255576021,0.0070837828119381,-2.640593745407977,0.17695579926886,0.1218274111675127,2,1,True,-0.05512838810134729,-0.05512838810134729,-0.0691551194003307,0.4672683767630212,0.0
E10.5 → E11.5,Meninges,0.0352685838307108,0.0277722853040021,-0.34363715750758234,0.1307692307692307,0.1595788803000612,1,2,True,0.02880964953083051,0.02880964953083051,0.0362100201568602,0.04493716675099151,0.0
E10.5 → E11.5,Mesenchyme,0.091997824463555,0.0649468425483036,-0.501688048854916,0.2897655250897167,0.2478152309612983,2,1,True,-0.041950294128418414,-0.041950294128418414,-0.06505506699425712,0.14537190090768018,0.0
E10.5 → E11.5,Mucosal epithelium,0.1064821352916254,0.0,-10.057749926454772,0.1259946949602122,0.0,1,0,True,-0.1259946949602122,-0.1259946949602122,-0.1777188328912466,1.2672231339697657,0.0
E10.5 → E11.5,Notochord,0.0262674763451489,0.0,-8.042615685946169,0.0161290322580645,0.0,1,0,True,-0.0161290322580645,-0.0161290322580645,-0.0416666666666666,0.12971960783784128,0.0
E10.5 → E11.5,Pancreas primordium,0.0,0.0205044084478162,7.68680923423988,0.0,0.0,0,0,False,0.1174999999999999,,0.1174999999999999,0.0,0.0
E10.5 → E11.5,Primitive gut tube,0.0752170374389582,0.0,-9.556832443096734,0.229936880072137,0.0,1,0,True,-0.229936880072137,-0.229936880072137,-0.2150586113615869,2.197468235337842,0.0
E10.5 → E11.5,Sclerotome,0.0651119836825935,0.0747787455535603,0.19941915987300818,0.1246741290624269,0.1454456230417877,2,2,True,0.020771493979360803,0.020771493979360803,-0.0695199586555855,0.0,0.029004643954199546
E10.5 → E11.5,Spinal cord,0.2165589254890691,0.0028209406032071,-6.212848839401161,0.2609189232383453,0.0344827586206896,2,1,True,-0.2264361646176557,-0.2264361646176557,-0.1870159805029881,1.6210498294191544,0.0
E10.5 → E11.5,Surface ectoderm,0.0424475371754883,0.0774823574564512,0.8666529897199572,0.1851851851851851,0.1742398370154034,1,2,True,-0.010945348169781682,-0.010945348169781682,0.0723852361454547,0.0,0.15100547567771744
E10.5 → E11.5,Sympathetic nerve,0.0,0.0189492457457085,7.573590065159021,0.0,0.3549019607843137,0,1,True,0.3549019607843137,0.3549019607843137,0.2313725490196078,0.0,2.6878819643015346
E10.5 → E11.5,Urogenital ridge,0.057264077398808,0.06381797054341,0.15607402860149402,0.0324189526184538,0.0786882093177063,1,2,True,0.0462692566992525,0.0462692566992525,0.028309085744721088,0.0,0.012281185831652042
